
Остатки и доступность товаров

Параметры:	Показать обособленные товары: Нет
Отбор:	Склад В группе из списка "СОХ Санкт-Петербург СТС"

Склад			Сейчас			Ожидается				02.04.2026	Итого
Артикул	Номенклатура, Характеристика	Ед. изм.	В наличии	В резерве	Доступно	Поступит	В резерве	Доступно	Поступит	Поступит	Поступит
СОХ Санкт-Петербург СТС											
01001	Гильза аксиальная 20 мм, AQUALINK 300/10	шт	9 316,000	3 310,000	6 006,000						
02746	Группа безопасности котла 1", AQUALINK 12/1	шт	267,000		267,000						
02745	Группа безопасности котла 1" компакт, AQUALINK 12/1	шт	140,000	22,000	118,000						
02747	Группа безопасности расширительного бака, AQUALINK 5/1	шт	90,000	6,000	84,000						
07002	Диэлектрическая муфта для газа 1/2" в/н, AQUALINK   200/10	шт	592,000	80,000	512,000						
07000	Диэлектрическая муфта для газа 1/2" н/н, AQUALINK   250/10	шт	815,000	50,000	765,000						
07003	Диэлектрическая муфта для газа 3/4" в/н, AQUALINK   140/10	шт	536,000	160,000	376,000						
07001	Диэлектрическая муфта для газа 3/4" н/н, AQUALINK   180/10	шт	489,000	50,000	439,000						
04475	Евроконус для коллектора  16x1/2", AQUALINK  300/10	шт	3 080,000		3 080,000						
03675	Заглушка   20, AQUALINK 1200/200	шт	10 649,000	3 615,000	7 034,000						
03676	Заглушка   25, AQUALINK 700/100	шт	2 769,000	800,000	1 969,000						
03677	Заглушка   32, AQUALINK 400/50	шт	1 950,000	415,000	1 535,000						
03678	Заглушка  40, AQUALINK 210/30	шт	570,000		570,000						
03679	Заглушка  50, AQUALINK  160/10	шт	266,000		266,000						
03680	Заглушка  63, AQUALINK  80/5	шт	121,000		121,000						
02582	Заглушка  F   1/2'', AQUALINK 500/10	шт	14 276,000	1 740,000	12 536,000						
02583	Заглушка  F   3/4'', AQUALINK 300/10	шт	10 230,000	1 010,000	9 220,000						
04524	Заглушка  F  1 1/2'', AQUALINK 80/5	шт	325,000	50,000	275,000						
04523	Заглушка  F  1 1/4'', AQUALINK 160/5	шт	737,000	120,000	617,000						
02581	Заглушка  F  1'', AQUALINK 200/10	шт	2 386,000	150,000	2 236,000						
04525	Заглушка  F  2'', AQUALINK 60/5	шт	552,000	30,000	522,000						
02584	Заглушка  M   1/2'', AQUALINK 500/10	шт	14 291,000	3 374,000	10 917,000						
02585	Заглушка  M   3/4', AQUALINK 300/10	шт	4 496,000	200,000	4 296,000						
04527	Заглушка  M  1 1/2'', AQUALINK 70/5	шт	158,000	87,000	71,000						
04526	Заглушка  M  1 1/4'', AQUALINK 120/5	шт	420,000	50,000	370,000						
02580	Заглушка  M  1'', AQUALINK 200/10	шт	140,000	80,000	60,000						
04528	Заглушка  M  2'', AQUALINK 50/5	шт	185,000	50,000	135,000						
03684	Заглушка  резьбовая   20х1/2, AQUALINK 2000/250	шт	3 699,000	2 000,000	1 699,000						
03685	Заглушка  резьбовая  25х3/4, AQUALINK 1000/50	шт	1 130,000		1 130,000						
01041	Заглушка аксиальная 16 мм, AQUALINK 500/10	шт	239,000	10,000	229,000						
01042	Заглушка аксиальная 20 мм, AQUALINK 350/10	шт	60,000	10,000	50,000						
04744	Заглушка для радиатора левая с силиконовой прокладкой  1", AQUALINK  200/40	шт	21,000		21,000						
04744	Заглушка для радиатора левая с силиконовой прокладкой  1", AQUALINK 200/10	шт	229,000		229,000						
04743	Заглушка для радиатора правая с силиконовой прокладкой  1", AQUALINK 200/10	шт	160,000		160,000						
04743	Заглушка для радиатора правая с силиконовой прокладкой  1", AQUALINK 200/40	шт	130,000		130,000						
04585	Заглушка на переходник для радиатора  1/2, AQUALINK 1000/10	шт	2,000		2,000						
04586	Заглушка на переходник для радиатора  3/4, AQUALINK  500/10	шт	37,000		37,000						
00895	Калибратор  14-32 мм, AQUALINK 100/10	шт	125,000		125,000						
ППЛ-1 М	Картридж из вспененного полипропилена для холодной воды (лайт) 1 мкм, Аквабрайт 50/1	шт	44,000		44,000						
